trial0000041, 000450, CZIP, 2325, 12, 193.750000, GVWY, 1556, 4, 389.000000, 108, 166, 
trial0000042, 000450, CZIP, 2706, 12, 225.500000, GVWY, 1540, 4, 385.000000, 158, N, 
trial0000043, 000450, CZIP, 1448, 12, 120.666667, GVWY, 1509, 4, 377.250000, 153, 181, 
trial0000044, 000450, CZIP, 2722, 12, 226.833333, GVWY, 1542, 4, 385.500000, 59, N, 
trial0000045, 000450, CZIP, 3236, 12, 269.666667, GVWY, 1285, 4, 321.250000, N, N, 
trial0000046, 000450, CZIP, 2483, 12, 206.916667, GVWY, 1363, 4, 340.750000, 163, 184, 
trial0000047, 000450, CZIP, 3031, 12, 252.583333, GVWY, 1459, 4, 364.750000, 163, N, 
trial0000048, 000450, CZIP, 2821, 12, 235.083333, GVWY, 1508, 4, 377.000000, N, N, 
trial0000049, 000450, CZIP, 2531, 12, 210.916667, GVWY, 1470, 4, 367.500000, N, 66, 
trial0000050, 000450, CZIP, 2626, 12, 218.833333, GVWY, 1425, 4, 356.250000, N, 183, 
trial0000001, 000450, CZIP, 2634, 10, 263.400000, GVWY, 2014, 6, 335.666667, N, N, 
trial0000002, 000450, CZIP, 2351, 10, 235.100000, GVWY, 2025, 6, 337.500000, N, N, 
trial0000003, 000450, CZIP, 1991, 10, 199.100000, GVWY, 2325, 6, 387.500000, 166, 175, 
trial0000004, 000450, CZIP, 2430, 10, 243.000000, GVWY, 2172, 6, 362.000000, 143, N, 
trial0000005, 000450, CZIP, 1762, 10, 176.200000, GVWY, 2166, 6, 361.000000, 166, 176, 
trial0000006, 000450, CZIP, 2768, 10, 276.800000, GVWY, 1797, 6, 299.500000, 164, 283, 
trial0000007, 000450, CZIP, 2662, 10, 266.200000, GVWY, 2073, 6, 345.500000, 107, 192, 
trial0000008, 000450, CZIP, 1577, 10, 157.700000, GVWY, 2226, 6, 371.000000, 157, N, 
trial0000009, 000450, CZIP, 2716, 10, 271.600000, GVWY, 1949, 6, 324.833333, 159, N, 
trial0000010, 000450, CZIP, 2281, 10, 228.100000, GVWY, 2260, 6, 376.666667, N, N, 
trial0000011, 000450, CZIP, 2302, 10, 230.200000, GVWY, 2232, 6, 372.000000, 158, 241, 
trial0000012, 000450, CZIP, 1523, 10, 152.300000, GVWY, 2346, 6, 391.000000, 140, 173, 
trial0000013, 000450, CZIP, 2610, 10, 261.000000, GVWY, 2339, 6, 389.833333, 164, 185, 
trial0000014, 000450, CZIP, 1343, 10, 134.300000, GVWY, 2460, 6, 410.000000, 164, 194, 
trial0000015, 000450, CZIP, 2212, 10, 221.200000, GVWY, 1967, 6, 327.833333, 148, N, 
trial0000016, 000450, CZIP, 2593, 10, 259.300000, GVWY, 1965, 6, 327.500000, N, 66, 
trial0000017, 000450, CZIP, 1786, 10, 178.600000, GVWY, 2095, 6, 349.166667, 156, N, 
trial0000018, 000450, CZIP, 2364, 10, 236.400000, GVWY, 2041, 6, 340.166667, 154, 164, 
trial0000019, 000450, CZIP, 2179, 10, 217.900000, GVWY, 2088, 6, 348.000000, 135, 155, 
trial0000020, 000450, CZIP, 1940, 10, 194.000000, GVWY, 1889, 6, 314.833333, 165, 189, 
trial0000021, 000450, CZIP, 1495, 10, 149.500000, GVWY, 2225, 6, 370.833333, 158, 165, 
trial0000022, 000450, CZIP, 2245, 10, 224.500000, GVWY, 2092, 6, 348.666667, 169, N, 
