trial0000008, 000450, SZIP, 2206, 10, 220.600000, ZIP, 1240, 6, 206.666667, 167, 187, 
trial0000009, 000450, SZIP, 2606, 10, 260.600000, ZIP, 1235, 6, 205.833333, 146, 922, 
trial0000010, 000450, SZIP, 2086, 10, 208.600000, ZIP, 1724, 6, 287.333333, N, N, 
trial0000011, 000450, SZIP, 2471, 10, 247.100000, ZIP, 1479, 6, 246.500000, 163, 187, 
trial0000012, 000450, SZIP, 2567, 10, 256.700000, ZIP, 1283, 6, 213.833333, N, 41, 
trial0000013, 000450, SZIP, 2397, 10, 239.700000, ZIP, 1270, 6, 211.666667, N, 38, 
trial0000014, 000450, SZIP, 2666, 10, 266.600000, ZIP, 1263, 6, 210.500000, 168, 834, 
trial0000015, 000450, SZIP, 2378, 10, 237.800000, ZIP, 1395, 6, 232.500000, 156, N, 
trial0000016, 000450, SZIP, 2321, 10, 232.100000, ZIP, 1578, 6, 263.000000, N, 104, 
trial0000017, 000450, SZIP, 3088, 10, 308.800000, ZIP, 1398, 6, 233.000000, N, N, 
trial0000018, 000450, SZIP, 2357, 10, 235.700000, ZIP, 1547, 6, 257.833333, N, 36, 
trial0000019, 000450, SZIP, 2303, 10, 230.300000, ZIP, 1482, 6, 247.000000, N, N, 
trial0000020, 000450, SZIP, 2411, 10, 241.100000, ZIP, 1073, 6, 178.833333, N, N, 
trial0000021, 000450, SZIP, 2557, 10, 255.700000, ZIP, 1918, 6, 319.666667, N, 144, 
trial0000022, 000450, SZIP, 2429, 10, 242.900000, ZIP, 1633, 6, 272.166667, N, 622, 
trial0000023, 000450, SZIP, 2396, 10, 239.600000, ZIP, 1034, 6, 172.333333, 98, 141, 
trial0000024, 000450, SZIP, 2866, 10, 286.600000, ZIP, 1576, 6, 262.666667, 1, 400, 
trial0000025, 000450, SZIP, 2378, 10, 237.800000, ZIP, 1265, 6, 210.833333, 163, 250, 
trial0000026, 000450, SZIP, 2450, 10, 245.000000, ZIP, 1854, 6, 309.000000, 107, 154, 
trial0000027, 000450, SZIP, 2699, 10, 269.900000, ZIP, 1560, 6, 260.000000, 160, 916, 
trial0000028, 000450, SZIP, 2560, 10, 256.000000, ZIP, 1294, 6, 215.666667, 92, 180, 
trial0000029, 000450, SZIP, 2326, 10, 232.600000, ZIP, 1556, 6, 259.333333, N, 36, 
