trial0000043, 000450, SNPR, 162, 4, 40.500000, ZIP, 1317, 12, 109.750000, 50, 82, 
trial0000044, 000450, SNPR, 132, 4, 33.000000, ZIP, 1517, 12, 126.416667, 37, 78, 
trial0000045, 000450, SNPR, 183, 4, 45.750000, ZIP, 1366, 12, 113.833333, 32, 40, 
trial0000046, 000450, SNPR, 197, 4, 49.250000, ZIP, 1660, 12, 138.333333, 56, N, 
trial0000047, 000450, SNPR, 86, 4, 21.500000, ZIP, 1652, 12, 137.666667, 58, 555, 
trial0000048, 000450, SNPR, 195, 4, 48.750000, ZIP, 1431, 12, 119.250000, 38, 39, 
trial0000049, 000450, SNPR, 143, 4, 35.750000, ZIP, 1701, 12, 141.750000, 49, 76, 
trial0000050, 000450, SNPR, 132, 4, 33.000000, ZIP, 1374, 12, 114.500000, 44, 56, 
trial0000001, 000450, SNPR, 193, 6, 32.166667, ZIP, 950, 10, 95.000000, 55, 70, 
trial0000002, 000450, SNPR, 267, 6, 44.500000, ZIP, 1068, 10, 106.800000, 49, 79, 
trial0000003, 000450, SNPR, 183, 6, 30.500000, ZIP, 1111, 10, 111.100000, 50, 81, 
trial0000004, 000450, SNPR, 307, 6, 51.166667, ZIP, 1259, 10, 125.900000, 39, 80, 
trial0000005, 000450, SNPR, 309, 6, 51.500000, ZIP, 1160, 10, 116.000000, 55, 65, 
trial0000006, 000450, SNPR, 228, 6, 38.000000, ZIP, 1035, 10, 103.500000, 50, 97, 
trial0000007, 000450, SNPR, 336, 6, 56.000000, ZIP, 1040, 10, 104.000000, 50, 83, 
trial0000008, 000450, SNPR, 261, 6, 43.500000, ZIP, 965, 10, 96.500000, 44, 91, 
trial0000009, 000450, SNPR, 185, 6, 30.833333, ZIP, 1172, 10, 117.200000, 59, 87, 
trial0000010, 000450, SNPR, 237, 6, 39.500000, ZIP, 1246, 10, 124.600000, 64, 83, 
trial0000011, 000450, SNPR, 247, 6, 41.166667, ZIP, 1209, 10, 120.900000, 1, N, 
trial0000012, 000450, SNPR, 320, 6, 53.333333, ZIP, 929, 10, 92.900000, 55, 75, 
trial0000013, 000450, SNPR, 249, 6, 41.500000, ZIP, 1291, 10, 129.100000, 36, 89, 
trial0000014, 000450, SNPR, 300, 6, 50.000000, ZIP, 1042, 10, 104.200000, 37, 66, 
trial0000015, 000450, SNPR, 365, 6, 60.833333, ZIP, 1131, 10, 113.100000, 60, 143, 
trial0000016, 000450, SNPR, 272, 6, 45.333333, ZIP, 1181, 10, 118.100000, 63, 876, 
trial0000017, 000450, SNPR, 216, 6, 36.000000, ZIP, 1275, 10, 127.500000, 52, 79, 
trial0000018, 000450, SNPR, 179, 6, 29.833333, ZIP, 1228, 10, 122.800000, 54, 258, 
trial0000019, 000450, SNPR, 270, 6, 45.000000, ZIP, 1134, 10, 113.400000, 52, 173, 
trial0000020, 000450, SNPR, 319, 6, 53.166667, ZIP, 920, 10, 92.000000, 60, 82, 
