trial0000044, 000450, SNPR, 761, 8, 95.125000, ZIP, 2148, 8, 268.500000, 126, 129, 
trial0000045, 000450, SNPR, 892, 8, 111.500000, ZIP, 1905, 8, 238.125000, N, 35, 
trial0000046, 000450, SNPR, 987, 8, 123.375000, ZIP, 1971, 8, 246.375000, 168, 177, 
trial0000047, 000450, SNPR, 924, 8, 115.500000, ZIP, 1885, 8, 235.625000, 148, 456, 
trial0000048, 000450, SNPR, 1258, 8, 157.250000, ZIP, 2109, 8, 263.625000, N, N, 
trial0000049, 000450, SNPR, 1029, 8, 128.625000, ZIP, 2114, 8, 264.250000, 161, 163, 
trial0000050, 000450, SNPR, 1069, 8, 133.625000, ZIP, 1940, 8, 242.500000, 159, N, 
trial0000001, 000450, SNPR, 1018, 10, 101.800000, ZIP, 1735, 6, 289.166667, 168, 710, 
trial0000002, 000450, SNPR, 1171, 10, 117.100000, ZIP, 1627, 6, 271.166667, 150, 1000, 
trial0000003, 000450, SNPR, 890, 10, 89.000000, ZIP, 1368, 6, 228.000000, 167, 410, 
trial0000004, 000450, SNPR, 1452, 10, 145.200000, ZIP, 1749, 6, 291.500000, 1, N, 
trial0000005, 000450, SNPR, 1057, 10, 105.700000, ZIP, 1890, 6, 315.000000, 167, 246, 
trial0000006, 000450, SNPR, 575, 10, 57.500000, ZIP, 1821, 6, 303.500000, N, 108, 
trial0000007, 000450, SNPR, 1216, 10, 121.600000, ZIP, 1469, 6, 244.833333, 163, 687, 
trial0000008, 000450, SNPR, 1425, 10, 142.500000, ZIP, 1627, 6, 271.166667, N, 41, 
trial0000009, 000450, SNPR, 962, 10, 96.200000, ZIP, 1601, 6, 266.833333, 1, 39, 
trial0000010, 000450, SNPR, 1121, 10, 112.100000, ZIP, 1676, 6, 279.333333, N, 584, 
trial0000011, 000450, SNPR, 1204, 10, 120.400000, ZIP, 1635, 6, 272.500000, 161, 281, 
trial0000012, 000450, SNPR, 946, 10, 94.600000, ZIP, 1809, 6, 301.500000, 166, 953, 
trial0000013, 000450, SNPR, 1040, 10, 104.000000, ZIP, 1545, 6, 257.500000, 163, 317, 
trial0000014, 000450, SNPR, 1220, 10, 122.000000, ZIP, 1565, 6, 260.833333, 163, 171, 
trial0000015, 000450, SNPR, 1400, 10, 140.000000, ZIP, 1423, 6, 237.166667, 66, 83, 
trial0000016, 000450, SNPR, 1094, 10, 109.400000, ZIP, 1592, 6, 265.333333, 166, N, 
trial0000017, 000450, SNPR, 1065, 10, 106.500000, ZIP, 1911, 6, 318.500000, 147, 165, 
trial0000018, 000450, SNPR, 1113, 10, 111.300000, ZIP, 1486, 6, 247.666667, N, N, 
trial0000019, 000450, SNPR, 1370, 10, 137.000000, ZIP, 1447, 6, 241.166667, 140, 260, 
trial0000020, 000450, SNPR, 1303, 10, 130.300000, ZIP, 1474, 6, 245.666667, 150, N, 
trial0000021, 000450, SNPR, 1251, 10, 125.100000, ZIP, 1445, 6, 240.833333, 169, 460, 
trial0000022, 000450, SNPR, 1391, 10, 139.100000, ZIP, 1522, 6, 253.666667, N, 39, 
trial0000023, 000450, SNPR, 1524, 10, 152.400000, ZIP, 1289, 6, 214.833333, N, N, 
trial0000024, 000450, SNPR, 1551, 10, 155.100000, ZIP, 1490, 6, 248.333333, 137, N, 
trial0000025, 000450, SNPR, 1346, 10, 134.600000, ZIP, 1546, 6, 257.666667, N, 104, 
trial0000026, 000450, SNPR, 1149, 10, 114.900000, ZIP, 1467, 6, 244.500000, 163, 708, 
trial0000027, 000450, SNPR, 1003, 10, 100.300000, ZIP, 1410, 6, 235.000000, 165, 1000, 
trial0000028, 000450, SNPR, 1066, 10, 106.600000, ZIP, 1737, 6, 289.500000, 101, 179, 
trial0000029, 000450, SNPR, 1043, 10, 104.300000, ZIP, 1819, 6, 303.166667, 159, N, 
trial0000030, 000450, SNPR, 1517, 10, 151.700000, ZIP, 1272, 6, 212.000000, 123, 283, 
trial0000031, 000450, SNPR, 1240, 10, 124.000000, ZIP, 1861, 6, 310.166667, 111, 529, 
trial0000032, 000450, SNPR, 873, 10, 87.300000, ZIP, 1294, 6, 215.666667, 157, 183, 
trial0000033, 000450, SNPR, 1061, 10, 106.100000, ZIP, 1600, 6, 266.666667, 169, 325, 
trial0000034, 000450, SNPR, 1227, 10, 122.700000, ZIP, 1500, 6, 250.000000, 167, N, 
trial0000035, 000450, SNPR, 929, 10, 92.900000, ZIP, 1513, 6, 252.166667, 1, 32, 
trial0000036, 000450, SNPR, 1379, 10, 137.900000, ZIP, 1730, 6, 288.333333, 164, 743, 
trial0000037, 000450, SNPR, 1291, 10, 129.100000, ZIP, 1598, 6, 266.333333, 135, N, 
trial0000038, 000450, SNPR, 1309, 10, 130.900000, ZIP, 1657, 6, 276.166667, N, N, 
trial0000039, 000450, SNPR, 889, 10, 88.900000, ZIP, 1833, 6, 305.500000, 1, 34, 
