trial0000039, 000450, SNPR, 137, 6, 22.833333, SZIP, 1236, 10, 123.600000, 60, 61, 
trial0000040, 000450, SNPR, 174, 6, 29.000000, SZIP, 1120, 10, 112.000000, N, N, 
trial0000041, 000450, SNPR, 180, 6, 30.000000, SZIP, 1146, 10, 114.600000, 1, N, 
trial0000042, 000450, SNPR, 151, 6, 25.166667, SZIP, 1348, 10, 134.800000, 1, 90, 
trial0000043, 000450, SNPR, 333, 6, 55.500000, SZIP, 1076, 10, 107.600000, 52, 88, 
trial0000044, 000450, SNPR, 245, 6, 40.833333, SZIP, 1292, 10, 129.200000, 62, 845, 
trial0000045, 000450, SNPR, 196, 6, 32.666667, SZIP, 1094, 10, 109.400000, 52, 72, 
trial0000046, 000450, SNPR, 220, 6, 36.666667, SZIP, 1043, 10, 104.300000, 61, 66, 
trial0000047, 000450, SNPR, 268, 6, 44.666667, SZIP, 1146, 10, 114.600000, 57, N, 
trial0000048, 000450, SNPR, 236, 6, 39.333333, SZIP, 1201, 10, 120.100000, 59, 947, 
trial0000049, 000450, SNPR, 171, 6, 28.500000, SZIP, 1419, 10, 141.900000, 1, 89, 
trial0000050, 000450, SNPR, 181, 6, 30.166667, SZIP, 1081, 10, 108.100000, N, N, 
trial0000001, 000450, SNPR, 213, 8, 26.625000, SZIP, 854, 8, 106.750000, N, 32, 
trial0000002, 000450, SNPR, 263, 8, 32.875000, SZIP, 1030, 8, 128.750000, 54, 88, 
trial0000003, 000450, SNPR, 294, 8, 36.750000, SZIP, 799, 8, 99.875000, N, 41, 
trial0000004, 000450, SNPR, 254, 8, 31.750000, SZIP, 808, 8, 101.000000, N, 45, 
trial0000005, 000450, SNPR, 269, 8, 33.625000, SZIP, 716, 8, 89.500000, N, 33, 
trial0000006, 000450, SNPR, 179, 8, 22.375000, SZIP, 749, 8, 93.625000, 1, 59, 
trial0000007, 000450, SNPR, 300, 8, 37.500000, SZIP, 939, 8, 117.375000, N, 37, 
trial0000008, 000450, SNPR, 385, 8, 48.125000, SZIP, 823, 8, 102.875000, 57, 89, 
trial0000009, 000450, SNPR, 233, 8, 29.125000, SZIP, 919, 8, 114.875000, N, 86, 
trial0000010, 000450, SNPR, 143, 8, 17.875000, SZIP, 1055, 8, 131.875000, 1, 34, 
trial0000011, 000450, SNPR, 253, 8, 31.625000, SZIP, 815, 8, 101.875000, 52, 202, 
trial0000012, 000450, SNPR, 205, 8, 25.625000, SZIP, 926, 8, 115.750000, 62, 295, 
trial0000013, 000450, SNPR, 238, 8, 29.750000, SZIP, 779, 8, 97.375000, 51, 122, 
trial0000014, 000450, SNPR, 252, 8, 31.500000, SZIP, 895, 8, 111.875000, N, 34, 
trial0000015, 000450, SNPR, 297, 8, 37.125000, SZIP, 730, 8, 91.250000, 57, 497, 
trial0000016, 000450, SNPR, 167, 8, 20.875000, SZIP, 946, 8, 118.250000, 54, 86, 
trial0000017, 000450, SNPR, 234, 8, 29.250000, SZIP, 830, 8, 103.750000, N, 36, 
trial0000018, 000450, SNPR, 322, 8, 40.250000, SZIP, 860, 8, 107.500000, N, 34, 
trial0000019, 000450, SNPR, 334, 8, 41.750000, SZIP, 960, 8, 120.000000, N, 37, 
trial0000020, 000450, SNPR, 228, 8, 28.500000, SZIP, 884, 8, 110.500000, N, 38, 
trial0000021, 000450, SNPR, 179, 8, 22.375000, SZIP, 906, 8, 113.250000, N, 922, 
trial0000022, 000450, SNPR, 315, 8, 39.375000, SZIP, 868, 8, 108.500000, 57, 748, 
trial0000023, 000450, SNPR, 396, 8, 49.500000, SZIP, 733, 8, 91.625000, 52, N, 
trial0000024, 000450, SNPR, 85, 8, 10.625000, SZIP, 835, 8, 104.375000, 61, 527, 
trial0000025, 000450, SNPR, 253, 8, 31.625000, SZIP, 740, 8, 92.500000, 54, 1000, 
trial0000026, 000450, SNPR, 230, 8, 28.750000, SZIP, 827, 8, 103.375000, 52, 55, 
trial0000027, 000450, SNPR, 243, 8, 30.375000, SZIP, 733, 8, 91.625000, 1, 35, 
trial0000028, 000450, SNPR, 323, 8, 40.375000, SZIP, 821, 8, 102.625000, 57, 73, 
trial0000029, 000450, SNPR, 317, 8, 39.625000, SZIP, 836, 8, 104.500000, N, 32, 
trial0000030, 000450, SNPR, 223, 8, 27.875000, SZIP, 875, 8, 109.375000, 64, 67, 
trial0000031, 000450, SNPR, 309, 8, 38.625000, SZIP, 918, 8, 114.750000, N, N, 
trial0000032, 000450, SNPR, 223, 8, 27.875000, SZIP, 962, 8, 120.250000, 54, 86, 
trial0000033, 000450, SNPR, 361, 8, 45.125000, SZIP, 937, 8, 117.125000, 57, 86, 
trial0000034, 000450, SNPR, 264, 8, 33.000000, SZIP, 900, 8, 112.500000, 59, 657, 
trial0000035, 000450, SNPR, 382, 8, 47.750000, SZIP, 886, 8, 110.750000, N, N, 
trial0000036, 000450, SNPR, 319, 8, 39.875000, SZIP, 718, 8, 89.750000, 59, 287, 
trial0000037, 000450, SNPR, 272, 8, 34.000000, SZIP, 855, 8, 106.875000, N, 34, 
trial0000038, 000450, SNPR, 154, 8, 19.250000, SZIP, 940, 8, 117.500000, N, N, 
trial0000039, 000450, SNPR, 471, 8, 58.875000, SZIP, 929, 8, 116.125000, 54, 62, 
trial0000040, 000450, SNPR, 339, 8, 42.375000, SZIP, 564, 8, 70.500000, 61, 80, 
trial0000041, 000450, SNPR, 207, 8, 25.875000, SZIP, 892, 8, 111.500000, 1, N, 
trial0000042, 000450, SNPR, 225, 8, 28.125000, SZIP, 861, 8, 107.625000, 52, 724, 
trial0000043, 000450, SNPR, 245, 8, 30.625000, SZIP, 847, 8, 105.875000, 59, 635, 
trial0000044, 000450, SNPR, 293, 8, 36.625000, SZIP, 950, 8, 118.750000, 61, 932, 
trial0000045, 000450, SNPR, 263, 8, 32.875000, SZIP, 841, 8, 105.125000, N, N, 
trial0000046, 000450, SNPR, 320, 8, 40.000000, SZIP, 867, 8, 108.375000, N, 32, 
trial0000047, 000450, SNPR, 178, 8, 22.250000, SZIP, 726, 8, 90.750000, 1, 60, 
trial0000048, 000450, SNPR, 305, 8, 38.125000, SZIP, 1002, 8, 125.250000, 63, N, 
trial0000049, 000450, SNPR, 298, 8, 37.250000, SZIP, 940, 8, 117.500000, 61, 702, 
trial0000050, 000450, SNPR, 329, 8, 41.125000, SZIP, 841, 8, 105.125000, 58, 62, 
trial0000001, 000450, SNPR, 335, 10, 33.500000, SZIP, 578, 6, 96.333333, 63, 116, 
trial0000002, 000450, SNPR, 366, 10, 36.600000, SZIP, 603, 6, 100.500000, 58, 64, 
trial0000003, 000450, SNPR, 373, 10, 37.300000, SZIP, 727, 6, 121.166667, 57, 854, 
trial0000004, 000450, SNPR, 294, 10, 29.400000, SZIP, 571, 6, 95.166667, 53, 1000, 
trial0000005, 000450, SNPR, 436, 10, 43.600000, SZIP, 716, 6, 119.333333, 52, N, 
trial0000006, 000450, SNPR, 308, 10, 30.800000, SZIP, 856, 6, 142.666667, N, 90, 
trial0000007, 000450, SNPR, 417, 10, 41.700000, SZIP, 719, 6, 119.833333, N, N, 
trial0000008, 000450, SNPR, 349, 10, 34.900000, SZIP, 532, 6, 88.666667, N, N, 
trial0000009, 000450, SNPR, 448, 10, 44.800000, SZIP, 556, 6, 92.666667, 58, N, 
trial0000010, 000450, SNPR, 320, 10, 32.000000, SZIP, 652, 6, 108.666667, 52, N, 
trial0000011, 000450, SNPR, 304, 10, 30.400000, SZIP, 582, 6, 97.000000, 52, 56, 
trial0000012, 000450, SNPR, 326, 10, 32.600000, SZIP, 609, 6, 101.500000, 63, 335, 
trial0000013, 000450, SNPR, 463, 10, 46.300000, SZIP, 653, 6, 108.833333, 1, 90, 
trial0000014, 000450, SNPR, 311, 10, 31.100000, SZIP, 606, 6, 101.000000, 1, 39, 
trial0000015, 000450, SNPR, 366, 10, 36.600000, SZIP, 589, 6, 98.166667, 60, 805, 
trial0000016, 000450, SNPR, 226, 10, 22.600000, SZIP, 630, 6, 105.000000, N, 89, 
trial0000017, 000450, SNPR, 319, 10, 31.900000, SZIP, 591, 6, 98.500000, N, 45, 
trial0000018, 000450, SNPR, 337, 10, 33.700000, SZIP, 481, 6, 80.166667, 61, 918, 
trial0000019, 000450, SNPR, 386, 10, 38.600000, SZIP, 705, 6, 117.500000, 52, N, 
trial0000020, 000450, SNPR, 363, 10, 36.300000, SZIP, 740, 6, 123.333333, 54, 117, 
trial0000021, 000450, SNPR, 260, 10, 26.000000, SZIP, 685, 6, 114.166667, 53, 90, 
trial0000022, 000450, SNPR, 391, 10, 39.100000, SZIP, 637, 6, 106.166667, N, 43, 
trial0000023, 000450, SNPR, 374, 10, 37.400000, SZIP, 621, 6, 103.500000, 59, 111, 
trial0000024, 000450, SNPR, 387, 10, 38.700000, SZIP, 602, 6, 100.333333, 52, 212, 
trial0000025, 000450, SNPR, 350, 10, 35.000000, SZIP, 616, 6, 102.666667, 53, 85, 
trial0000026, 000450, SNPR, 360, 10, 36.000000, SZIP, 479, 6, 79.833333, N, 40, 
trial0000027, 000450, SNPR, 334, 10, 33.400000, SZIP, 576, 6, 96.000000, 57, 86, 
trial0000028, 000450, SNPR, 164, 10, 16.400000, SZIP, 628, 6, 104.666667, 1, 36, 
trial0000029, 000450, SNPR, 367, 10, 36.700000, SZIP, 513, 6, 85.500000, N, 47, 
trial0000030, 000450, SNPR, 265, 10, 26.500000, SZIP, 720, 6, 120.000000, 59, 776, 
trial0000031, 000450, SNPR, 494, 10, 49.400000, SZIP, 555, 6, 92.500000, N, N, 
trial0000032, 000450, SNPR, 379, 10, 37.900000, SZIP, 446, 6, 74.333333, N, 40, 
trial0000033, 000450, SNPR, 287, 10, 28.700000, SZIP, 702, 6, 117.000000, 1, 37, 
trial0000034, 000450, SNPR, 489, 10, 48.900000, SZIP, 516, 6, 86.000000, 56, 604, 
trial0000035, 000450, SNPR, 445, 10, 44.500000, SZIP, 719, 6, 119.833333, 58, 88, 
trial0000036, 000450, SNPR, 270, 10, 27.000000, SZIP, 738, 6, 123.000000, 56, 89, 
trial0000037, 000450, SNPR, 358, 10, 35.800000, SZIP, 423, 6, 70.500000, 52, 775, 
trial0000038, 000450, SNPR, 403, 10, 40.300000, SZIP, 713, 6, 118.833333, 52, N, 
trial0000039, 000450, SNPR, 290, 10, 29.000000, SZIP, 668, 6, 111.333333, 63, N, 
trial0000040, 000450, SNPR, 324, 10, 32.400000, SZIP, 683, 6, 113.833333, 1, 41, 
trial0000041, 000450, SNPR, 445, 10, 44.500000, SZIP, 766, 6, 127.666667, 1, 88, 
trial0000042, 000450, SNPR, 318, 10, 31.800000, SZIP, 578, 6, 96.333333, 53, 94, 
trial0000043, 000450, SNPR, 412, 10, 41.200000, SZIP, 633, 6, 105.500000, 58, 290, 
trial0000044, 000450, SNPR, 384, 10, 38.400000, SZIP, 557, 6, 92.833333, 59, 771, 
trial0000045, 000450, SNPR, 403, 10, 40.300000, SZIP, 650, 6, 108.333333, 63, 143, 
trial0000046, 000450, SNPR, 332, 10, 33.200000, SZIP, 562, 6, 93.666667, 1, 43, 
trial0000047, 000450, SNPR, 395, 10, 39.500000, SZIP, 600, 6, 100.000000, 57, 583, 
trial0000048, 000450, SNPR, 396, 10, 39.600000, SZIP, 781, 6, 130.166667, 63, 83, 
trial0000049, 000450, SNPR, 365, 10, 36.500000, SZIP, 590, 6, 98.333333, 62, 553, 
trial0000050, 000450, SNPR, 364, 10, 36.400000, SZIP, 718, 6, 119.666667, 52, N, 
trial0000001, 000450, SNPR, 423, 12, 35.250000, SZIP, 345, 4, 86.250000, 52, N, 
trial0000002, 000450, SNPR, 279, 12, 23.250000, SZIP, 429, 4, 107.250000, N, 44, 
